,tech,tech,tech,tech,finance,finance,finance,finance,pharma,pharma,pharma,pharma,food,food,food,food,education,education,education,education,energy,energy,energy,energy
,MSFT,GOOGL,META,NVDA,JPM,BAC,MA,V,JNJ,PFE,MRK,AZN,YUM,MCD,SBUX,DPZ,UDMY,DUOL,COUR,CHGG,XOM,CVX,SHEL,NEE
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,178.60000610351562,63.95000076293945,179.24000549316406,7.308000087738037,95.18000030517578,23.280000686645508,259.9700012207031,169.5399932861328,152.02000427246094,35.01897430419922,79.63740539550781,50.029998779296875,84.16999816894531,186.10000610351562,77.0999984741211,362.9700012207031,,,,36.75,43.220001220703125,87.16999816894531,35.47999954223633,61.564998626708984
2020-04-20,175.05999755859375,63.057498931884766,178.24000549316406,7.176249980926514,91.70999908447266,22.5,251.72999572753906,164.22000122070312,151.6699981689453,34.23149871826172,79.29389190673828,50.439998626708984,82.06999969482422,181.64999389648438,75.31999969482422,370.4800109863281,,,,36.41999816894531,41.18000030517578,83.56999969482422,33.47999954223633,59.40250015258789
2020-04-21,167.82000732421875,60.608001708984375,170.8000030517578,6.737750053405762,89.05000305175781,21.639999389648438,245.35000610351562,160.52999877929688,149.67999267578125,33.795066833496094,74.96183013916016,50.06999969482422,81.19999694824219,177.5800018310547,72.72000122070312,365.2200012207031,,,,35.65999984741211,40.959999084472656,81.63999938964844,32.93000030517578,58.85499954223633
2020-04-22,173.52000427246094,62.920501708984375,182.27999877929688,7.153749942779541,89.33999633789062,21.799999237060547,256.9100036621094,166.58999633789062,152.99000549316406,34.39278793334961,76.3167953491211,50.36000061035156,86.79000091552734,186.47999572753906,77.44999694824219,383.75,,,,36.79999923706055,42.130001068115234,84.44000244140625,34.86000061035156,61.79249954223633
2020-04-23,171.4199981689453,63.55849838256836,185.1300048828125,7.100249767303467,89.38999938964844,21.8700008392334,255.86000061035156,166.3800048828125,155.50999450683594,34.810245513916016,77.17557525634766,50.38999938964844,85.61000061035156,182.0399932861328,75.1500015258789,369.6400146484375,,,,37.81999969482422,43.45000076293945,86.80000305175781,35.15999984741211,60.28499984741211
2020-04-24,174.5500030517578,63.83000183105469,190.07000732421875,7.239749908447266,90.70999908447266,22.18000030517578,258.760009765625,167.32000732421875,154.86000061035156,35.46489715576172,77.70037841796875,51.18000030517578,85.88999938964844,184.02000427246094,75.58000183105469,367.2900085449219,,,,39.470001220703125,43.72999954223633,87.01000213623047,35.029998779296875,59.92499923706055
2020-04-27,174.0500030517578,63.542999267578125,187.5,7.427000045776367,94.62000274658203,23.469999313354492,265.1199951171875,171.75999450683594,154.2899932861328,36.3662223815918,80.13359069824219,51.47999954223633,88.19000244140625,185.88999938964844,77.73999786376953,362.0299987792969,,,,41.849998474121094,43.939998626708984,89.70999908447266,35.81999969482422,60.900001525878906
2020-04-28,169.80999755859375,61.62950134277344,182.91000366210938,7.283999919891357,95.29000091552734,23.889999389648438,264.6000061035156,171.25,151.38999938964844,35.967742919921875,77.46183013916016,50.970001220703125,88.2699966430664,185.92999267578125,78.69000244140625,356.010009765625,,,,41.150001525878906,44.970001220703125,89.91000366210938,36.0,59.82500076293945
2020-04-29,177.42999267578125,67.10900115966797,194.19000244140625,7.46150016784668,97.86000061035156,24.780000686645508,283.69000244140625,181.7899932861328,150.24000549316406,36.16698455810547,77.07061004638672,50.720001220703125,87.45999908447266,187.82000732421875,76.86000061035156,362.010009765625,,,,42.02000045776367,47.459999084472656,94.62000274658203,38.0099983215332,58.782501220703125
2020-04-30,179.2100067138672,67.33499908447266,204.7100067138672,7.307000160217285,95.76000213623047,24.049999237060547,274.9700012207031,178.72000122070312,150.0399932861328,36.39468765258789,75.70610809326172,52.279998779296875,86.43000030517578,187.55999755859375,76.7300033569336,361.92999267578125,,,,42.75,46.470001220703125,92.0,33.130001068115234,57.779998779296875
